Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,43.915001,44.424999,42.330002,42.939999,42.792976,36205600
2019-09-30,43.200001,43.619999,42.884998,43.517502,43.368507,18618400
2019-10-01,43.750000,45.250000,43.452499,43.500000,43.351067,36600800
2019-10-02,43.279999,43.400002,42.532501,43.259998,43.111881,29337200
2019-10-03,43.305000,45.389999,43.000000,45.327499,45.172310,45058800
2019-10-04,45.349998,45.787498,44.695000,45.492500,45.336746,26552400
2019-10-07,46.145000,47.084999,46.057499,46.082500,45.924725,48098400
2019-10-08,45.160000,45.160000,44.125000,44.307499,44.155800,44443600
2019-10-09,45.080002,45.674999,44.790001,45.177502,45.022823,29241200
2019-10-10,45.154999,46.270000,45.102501,45.757500,45.600830,30912400
2019-10-11,46.602501,47.334999,46.412498,46.497501,46.338303,44640400
2019-10-14,46.410000,46.842499,46.097500,46.632500,46.472832,20004000
2019-10-15,47.540001,49.822498,47.400002,49.092499,48.924416,66412400
2019-10-16,48.750000,49.805000,48.437500,48.552502,48.386269,42894400
2019-10-17,49.000000,49.452499,48.025002,48.572498,48.406193,26343600
2019-10-18,48.577499,48.904999,46.875000,47.622501,47.459454,30744000
2019-10-21,48.240002,49.137501,48.049999,49.002499,48.834721,26186800
2019-10-22,49.575001,50.632500,48.825001,48.902500,48.735058,32872000
2019-10-23,48.077499,48.915001,47.757500,48.772499,48.605515,27991600
2019-10-24,49.187500,49.552502,48.845001,49.215000,49.046494,23202000
2019-10-25,50.025002,51.345001,49.947498,51.134998,50.959927,42309200
2019-10-28,51.575001,52.224998,51.279999,51.697498,51.520496,33079200
2019-10-29,51.557499,51.622501,50.535000,50.730000,50.556309,21123600
2019-10-30,51.000000,51.057499,50.064999,50.750000,50.576244,20596000
2019-10-31,50.540001,50.750000,49.452499,50.255001,50.082928,20973200
2019-11-01,49.900002,50.972500,49.647499,50.647499,50.474094,28364000
2019-11-04,51.462502,52.750000,51.230000,52.625000,52.444817,37671600
2019-11-05,52.622501,52.884998,51.919998,52.402500,52.223083,30086800
2019-11-06,52.160000,52.417500,51.027500,51.907501,51.729774,26901200
2019-11-07,52.777500,52.924999,51.634998,52.084999,51.906670,28034000
2019-11-08,51.915001,52.262501,51.537498,51.945000,51.767151,18910000
2019-11-11,51.937500,52.277500,51.070000,52.044998,51.866806,24343600
2019-11-12,52.430000,52.965000,52.077499,52.402500,52.223083,28350400
2019-11-13,52.087502,52.365002,51.474998,52.142502,51.963974,30018800
2019-11-14,52.232498,52.470001,51.630001,52.447498,52.267921,51808000
2019-11-15,52.424999,52.945000,50.160000,51.047501,50.872726,105362800
2019-11-18,50.972500,53.337502,50.942501,53.070000,52.888298,57458800
2019-11-19,52.757500,52.994999,51.412498,51.997501,51.819466,41456400
2019-11-20,51.767502,53.637501,51.639999,52.794998,52.614239,47258800
2019-11-21,52.750000,53.310001,52.327499,52.544998,52.365097,28838800
2019-11-22,52.772499,53.240002,52.485001,52.722500,52.541985,22410000
2019-11-25,54.009998,55.352501,53.880001,55.302502,55.113159,50647600
2019-11-26,55.125000,55.172501,54.185001,54.250000,54.064255,38524400
2019-11-27,54.667500,55.012501,54.294998,54.560001,54.413315,21578400
