Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,85.099998,85.279999,84.660004,84.959999,84.959999,762864
2021-06-28,84.559998,85.320000,84.139999,84.139999,84.139999,931840
2021-06-29,84.120003,85.199997,84.040001,84.279999,84.279999,556482
2021-06-30,84.040001,84.379997,83.239998,83.480003,83.480003,1021518
2021-07-01,84.000000,84.459999,83.519997,84.059998,84.059998,877211
2021-07-02,84.019997,85.040001,83.820000,83.959999,83.959999,886529
2021-07-05,84.000000,84.519997,83.419998,84.400002,84.400002,735452
2021-07-06,84.360001,84.379997,82.599998,82.779999,82.779999,808678
2021-07-07,83.080002,83.900002,83.019997,83.839996,83.839996,748925
2021-07-08,83.400002,83.400002,82.379997,83.040001,83.040001,1520942
2021-07-09,83.099998,84.400002,83.080002,84.199997,84.199997,1175584
2021-07-12,84.239998,85.160004,84.019997,85.059998,85.059998,862043
2021-07-13,85.099998,85.879997,85.000000,85.559998,85.559998,875939
2021-07-14,85.000000,85.699997,84.500000,84.980003,84.980003,738358
2021-07-15,84.959999,84.959999,83.099998,83.980003,83.980003,1007288
2021-07-16,84.300003,85.019997,83.099998,83.500000,83.500000,835014
2021-07-19,82.540001,82.540001,79.680000,79.919998,79.919998,2023332
2021-07-20,80.440002,81.239998,79.559998,80.620003,80.620003,1280783
2021-07-21,80.820000,83.199997,80.699997,82.860001,82.860001,950788
2021-07-22,83.320000,84.000000,82.879997,83.040001,83.040001,608982
2021-07-23,83.620003,83.900002,82.839996,83.260002,83.260002,519130
2021-07-26,82.900002,83.919998,82.160004,83.739998,83.739998,587693
2021-07-27,83.879997,83.879997,82.820000,83.680000,83.680000,717212
2021-07-28,83.900002,84.919998,83.860001,84.040001,84.040001,749908
2021-07-29,84.519997,85.400002,84.120003,84.760002,84.760002,998460
2021-07-30,85.080002,85.080002,81.559998,82.019997,82.019997,1950205
2021-08-02,82.620003,83.480003,82.120003,82.620003,82.620003,1004290
2021-08-03,82.660004,83.040001,81.599998,82.279999,82.279999,781706
2021-08-04,82.360001,83.080002,82.180000,82.620003,82.620003,719761
2021-08-05,82.699997,83.680000,82.680000,83.360001,83.360001,829637
2021-08-06,83.500000,84.599998,83.279999,84.239998,84.239998,882946
2021-08-09,84.279999,84.839996,84.260002,84.760002,84.760002,605529
2021-08-10,84.540001,85.519997,84.540001,85.300003,85.300003,721742
2021-08-11,85.239998,86.139999,85.239998,85.760002,85.760002,775953
2021-08-12,85.980003,87.239998,85.980003,86.400002,86.400002,771568
2021-08-13,86.599998,87.040001,86.379997,86.919998,86.919998,605739
2021-08-16,86.580002,86.959999,85.879997,86.779999,86.779999,758220
2021-08-17,86.779999,86.800003,85.879997,86.500000,86.500000,622951
2021-08-18,86.379997,86.860001,85.900002,86.699997,86.699997,614415
2021-08-19,85.500000,85.660004,84.500000,85.139999,85.139999,1387653
2021-08-20,85.040001,85.339996,84.379997,85.320000,85.320000,643769
2021-08-23,85.919998,86.540001,85.620003,86.260002,86.260002,838804
2021-08-24,86.660004,86.959999,86.519997,86.660004,86.660004,686458
2021-08-25,86.980003,87.080002,86.080002,86.339996,86.339996,731387
2021-08-26,86.000000,86.419998,85.699997,85.959999,85.959999,553410
2021-08-27,85.900002,86.180000,85.519997,85.919998,85.919998,718142
2021-08-30,85.919998,86.099998,84.720001,84.860001,84.860001,753228
2021-08-31,84.500000,84.800003,83.660004,84.260002,84.260002,1179749
2021-09-01,84.760002,85.279999,84.059998,84.519997,84.519997,794386
2021-09-02,84.400002,84.519997,83.120003,83.300003,83.300003,1080224
2021-09-03,83.099998,83.300003,82.500000,82.620003,82.620003,1198790
2021-09-06,82.500000,83.220001,82.059998,82.879997,82.879997,877029
2021-09-07,82.940002,83.599998,82.580002,82.860001,82.860001,941207
2021-09-08,82.500000,83.059998,81.739998,82.440002,82.440002,945086
2021-09-09,82.099998,83.019997,81.639999,82.580002,82.580002,999240
2021-09-10,82.599998,82.860001,81.339996,81.339996,81.339996,746518
2021-09-13,81.639999,83.199997,81.639999,82.959999,82.959999,860600
2021-09-14,83.120003,83.400002,82.400002,82.459999,82.459999,712745
2021-09-15,82.760002,82.760002,81.680000,81.800003,81.800003,763555
2021-09-16,82.339996,82.599998,81.800003,82.059998,82.059998,734080
2021-09-17,82.620003,82.940002,80.540001,80.620003,80.620003,2301064
2021-09-20,80.000000,80.000000,77.260002,78.099998,78.099998,2192646
2021-09-21,78.500000,79.540001,78.199997,78.480003,78.480003,1097940
2021-09-22,79.320000,80.300003,79.120003,79.879997,79.879997,907373
2021-09-23,80.779999,81.139999,80.300003,80.419998,80.419998,773243
2021-09-24,80.360001,80.760002,80.019997,80.300003,80.300003,526116
2021-09-27,80.879997,81.639999,80.660004,81.300003,81.300003,678198
2021-09-28,81.320000,81.919998,79.779999,80.019997,80.019997,993032
2021-09-29,80.500000,80.959999,79.879997,80.820000,80.820000,652137
2021-09-30,81.139999,81.400002,79.760002,80.139999,80.139999,1048125
2021-10-01,78.779999,79.919998,78.239998,79.739998,79.739998,953472
2021-10-04,79.699997,80.459999,79.400002,79.800003,79.800003,1233070
2021-10-05,80.000000,80.400002,79.199997,79.959999,79.959999,820997
2021-10-06,79.459999,79.660004,78.059998,79.559998,79.559998,882560
2021-10-07,80.160004,81.320000,80.160004,80.720001,80.720001,809389
2021-10-08,81.000000,81.000000,80.519997,80.699997,80.699997,641770
2021-10-11,80.660004,80.879997,79.959999,80.360001,80.360001,490462
2021-10-12,79.699997,80.260002,79.300003,80.260002,80.260002,737357
2021-10-13,80.120003,80.260002,79.300003,79.699997,79.699997,865602
2021-10-14,80.040001,80.379997,79.660004,80.379997,80.379997,920825
2021-10-15,80.739998,82.059998,80.739998,81.260002,81.260002,1004382
2021-10-18,81.320000,81.500000,80.919998,81.040001,81.040001,555633
2021-10-19,81.040001,82.139999,80.480003,82.080002,82.080002,754588
2021-10-20,82.019997,82.739998,81.680000,82.419998,82.419998,674020
2021-10-21,81.820000,81.959999,80.839996,81.720001,81.720001,956130
2021-10-22,81.739998,82.199997,81.459999,81.580002,81.580002,533792
2021-10-25,82.120003,82.220001,81.480003,81.760002,81.760002,479155
2021-10-26,82.000000,84.279999,81.919998,83.980003,83.980003,1324238
2021-10-27,84.300003,85.599998,84.099998,85.019997,85.019997,1143939
2021-10-28,84.959999,85.699997,84.620003,85.699997,85.699997,1034447
2021-10-29,86.900002,88.980003,86.860001,88.639999,88.639999,2542304
2021-11-01,88.959999,89.620003,88.339996,88.959999,88.959999,1187849
2021-11-02,88.959999,90.339996,88.599998,90.260002,90.260002,1263530
2021-11-03,90.300003,91.699997,90.080002,91.500000,91.500000,1315330
2021-11-04,91.500000,92.260002,90.419998,90.839996,90.839996,1075831
2021-11-05,90.419998,91.500000,90.419998,90.820000,90.820000,789263
2021-11-08,90.900002,91.120003,90.379997,91.019997,91.019997,760632
2021-11-09,90.800003,91.120003,90.059998,90.300003,90.300003,787537
2021-11-10,90.360001,90.620003,89.260002,90.199997,90.199997,954897
2021-11-11,90.040001,90.220001,89.220001,89.279999,89.279999,702928
2021-11-12,89.379997,89.699997,88.800003,89.180000,89.180000,591878
2021-11-15,88.760002,89.220001,88.540001,88.800003,88.800003,540990
2021-11-16,88.699997,89.239998,88.099998,88.820000,88.820000,617141
2021-11-17,88.580002,89.000000,88.419998,88.760002,88.760002,390665
2021-11-18,88.839996,88.860001,88.120003,88.360001,88.360001,579657
2021-11-19,88.639999,88.660004,86.199997,87.500000,87.500000,1170270
2021-11-22,87.900002,88.040001,86.900002,88.040001,88.040001,859256
2021-11-23,87.639999,88.820000,87.059998,88.459999,88.459999,976098
2021-11-24,88.360001,89.860001,88.360001,89.059998,89.059998,909529
2021-11-25,89.000000,90.099998,88.940002,90.040001,90.040001,627598
2021-11-26,87.540001,87.580002,85.199997,86.260002,86.260002,2718302
2021-11-29,86.720001,87.959999,86.400002,86.660004,86.660004,1079218
2021-11-30,85.739998,86.879997,85.120003,86.440002,86.440002,1841021
2021-12-01,87.059998,87.699997,86.720001,87.519997,87.519997,876840
2021-12-02,86.879997,87.800003,86.239998,87.580002,87.580002,756274
2021-12-03,88.000000,88.739998,87.699997,88.139999,88.139999,860233
2021-12-06,89.000000,89.599998,88.559998,89.400002,89.400002,1273735
2021-12-07,90.000000,90.440002,89.320000,89.419998,89.419998,798220
2021-12-08,89.400002,89.720001,88.379997,89.239998,89.239998,688223
2021-12-09,89.199997,89.239998,88.680000,88.879997,88.879997,577300
2021-12-10,88.720001,89.019997,88.220001,88.300003,88.300003,613593
2021-12-13,88.300003,88.660004,87.099998,87.300003,87.300003,978135
2021-12-14,87.680000,88.080002,87.279999,87.639999,87.639999,719060
2021-12-15,87.800003,88.360001,87.480003,88.099998,88.099998,1332177
2021-12-16,88.720001,89.599998,88.599998,89.279999,89.279999,962475
2021-12-17,89.360001,89.739998,88.760002,89.660004,89.660004,1889247
2021-12-20,88.000000,89.120003,86.300003,87.040001,87.040001,1148423
2021-12-21,87.820000,88.760002,87.559998,88.620003,88.620003,675881
2021-12-22,88.500000,88.720001,87.919998,88.660004,88.660004,420319
2021-12-23,89.099998,89.900002,89.099998,89.900002,89.900002,530921
2021-12-27,89.739998,90.260002,89.559998,90.019997,90.019997,478228
2021-12-28,90.180000,90.860001,90.139999,90.860001,90.860001,702792
2021-12-29,90.879997,91.080002,90.059998,90.559998,90.559998,507046
2021-12-30,90.400002,90.739998,90.260002,90.260002,90.260002,417986
2022-01-03,91.000000,91.559998,90.639999,91.540001,91.540001,665406
2022-01-04,91.900002,93.099998,91.900002,92.580002,92.580002,1165142
2022-01-05,92.739998,93.419998,92.680000,93.339996,93.339996,787727
2022-01-06,93.000000,94.160004,92.680000,93.839996,93.839996,1282503
2022-01-07,94.000000,94.480003,93.760002,94.339996,94.339996,756438
2022-01-10,94.620003,95.279999,94.000000,95.000000,95.000000,1272377
2022-01-11,95.199997,95.699997,94.379997,94.599998,94.599998,1168563
2022-01-12,95.099998,96.160004,95.000000,95.940002,95.940002,1109564
2022-01-13,96.059998,96.500000,95.599998,96.059998,96.059998,835910
2022-01-14,95.419998,95.760002,95.139999,95.720001,95.720001,1516009
2022-01-17,95.860001,97.000000,95.760002,97.000000,97.000000,1084987
2022-01-18,96.339996,97.980003,96.160004,97.879997,97.879997,1174884
2022-01-19,97.800003,98.260002,96.900002,97.480003,97.480003,1228043
2022-01-20,97.680000,97.879997,95.779999,97.080002,97.080002,1027999
2022-01-21,96.519997,97.599998,96.440002,96.940002,96.940002,1290392
2022-01-24,97.400002,97.680000,95.519997,96.620003,96.620003,1858278
2022-01-25,96.900002,99.339996,96.839996,99.199997,99.199997,1670658
2022-01-26,99.620003,100.900002,99.419998,100.449997,100.449997,1422560
2022-01-27,99.699997,102.150002,99.500000,101.500000,101.500000,1456808
2022-01-28,101.599998,101.599998,99.839996,100.849998,100.849998,1306585
2022-01-31,101.550003,101.900002,100.050003,100.300003,100.300003,1128016
2022-02-01,101.000000,101.449997,100.099998,101.300003,101.300003,1219221
2022-02-02,101.599998,101.949997,101.250000,101.550003,101.550003,1021295
2022-02-03,101.300003,102.199997,101.050003,101.699997,101.699997,984228
2022-02-04,102.000000,102.099998,98.620003,99.099998,99.099998,1504645
2022-02-07,99.800003,100.300003,99.099998,99.620003,99.620003,923440
2022-02-08,99.699997,100.650002,99.699997,100.199997,100.199997,986730
2022-02-09,100.400002,101.550003,100.000000,101.349998,101.349998,1013074
2022-02-10,100.800003,101.300003,99.779999,100.699997,100.699997,1225510
